Ausgrid Business Capability Model Definitions,,,Ausgrid Business Capability Model Definitions,,Applications Mapping,Business Ownership
Core,3,1.3,Data Integration,Consolidating and harmonizing customer data across systems and platforms to enable a unified view and improve service efficiency.,,
Core,2,1.2,Customer Product Information Management,"The process of organizing, maintaining, and distributing energy-related product data to ensure accessibility, accuracy, and consistency for customers and stakeholders.",,
Core,3,1.3,Product Catalogue Management,"Organizing and maintaining a structured catalogue of energy-related products, ensuring accurate descriptions and availability for customers.",,
Core,3,1.3,Content Management,"Managing product-related content, including specifications, usage guides, and marketing materials, to enhance customer understanding and engagement.",,
Core,3,1.3,Data Syndication,Distributing product information across multiple channels and platforms to ensure consistency and accessibility for stakeholders.,,
Core,3,1.3,Product Lifecycle Management,"Overseeing the complete lifecycle of energy products, from development and deployment to upgrades and phase-outs, ensuring efficient transitions and customer satisfaction.",,
Core,2,1.2,Customer Marketing Strategy & Planning,"The process of developing and executing targeted marketing initiatives to engage customers, enhance brand loyalty, and optimize business outcomes through data-driven decision-making.",,
Core,3,1.3,Campaign Customer Journey Mapping,"Planning, executing, and optimizing marketing campaigns to drive engagement, conversions, and brand awareness.",,
Core,3,1.3,Segmentation & Targeting,"Identifying customer groups based on behavior, preferences, and demographics to tailor marketing efforts effectively.",,
Core,3,1.3,Brand Management,"Developing and maintaining brand positioning, identity, and messaging to strengthen market presence and customer perception.",,
Core,3,1.3,Customer Engagement,Creating personalized interactions and experiences that foster strong customer relationships and loyalty.,,
Core,3,1.3,Marketing Analytics,Collecting and analyzing marketing performance data to improve decision-making and optimize strategies.,,
,,,,,,
Core,1,1.1,Distributed Services,"The capability to integrate and manage bidirectional energy flow to/from distributed energy resources, including solar panels, and battery storage within the electricity network to support grid stability and efficiency.",,
Core,2,1.2,Infrastructure Delivery Management,"Planning, constructing, and maintaining grid infrastructure, including substations, transmission lines, and smart grid technology.",,
Core,3,1.3,Telecommunications Infrastructure Management,"Managing communication networks for grid monitoring, data transmission, and IoT integration in energy systems.",,
Core,3,1.3,Electrical Infrastructure Management,"Overseeing electrical assets, grid expansion, reliability improvements, and maintenance programs.",,
Core,3,1.3,Smart Cities Innovation Management,"Developing energy-efficient solutions for urban infrastructure, including intelligent lighting, EV charging, and digital twins.",,
Core,2,1.2,EVCI Infrastructure Management,Deployment and maintenance of Electric Vehicle Charging Infrastructure (EVCI) to support growing EV adoption.,,
Core,3,1.3,Charging Infra Development,"Planning and rolling out charging stations for public and private use, integrated with grid capabilities.",,
Core,3,1.3,Operations & Maintenance,"Ensuring smooth functionality of charging assets through predictive maintenance, diagnostics, and real-time monitoring.",,
Core,3,1.3,Customer Engagement & Support,"Managing customer interactions for EV charging networks, billing, and usage insights.",,
Core,2,1.2,Commercials Management,"Structuring financial agreements, vendor negotiations, and service contract execution within energy distribution.",,
Core,3,1.3,Supplier Commercials Management,"Supplier agreements, pricing models, and risk management for procurement of utility assets and services.",,
Core,3,1.3,Procurement Management,"Strategic sourcing of grid components, advanced metering, and renewable technologies.",,
Core,3,1.3,Financials Management,"Handling revenue accounting, treasury operations, regulatory compliance, and investment analysis.",,
Core,3,1.3,Legal Matter Management,"Overseeing energy regulations, compliance frameworks, and contract governance for utilities.",,
Core,2,1.2,Sales & Marketing Management,"Business development strategies, tariff structures, customer acquisition, and demand response promotions.",,
Core,3,1.3,Lead Generation Management,"Identification and targeting of new customer segments, including industrial and renewable energy clients.",,
Core,3,1.3,Marketing Management,"Public engagement on sustainable energy programs, rebates, and incentives to drive adoption.",,
Core,3,1.3,Sales Management,"Structuring commercial energy contracts, managing retail and wholesale energy trading.",,
Core,2,1.2,Customer Relations Management,"Handling customer interactions, service inquiries, dispute resolution, and loyalty programs.",,
Core,3,1.3,Supplier Relationship Management,"Collaboration with material suppliers, technology providers, and renewable energy partners.",,
Core,3,1.3,Installer Relationship Management,"Coordination with field engineers and technicians deploying metering, battery storage, and charging infrastructure.",,
Core,2,1.2,Embedded Network Operations Management,Management of behind-the-meter distributed energy resources and microgrids.,,
Core,3,1.3,Dispute Management,"Resolution of billing disputes, regulatory claims, and service delivery discrepancies.",,
Core,2,1.2,Field Services & Testing Management,"Managing deployment, maintenance, and on-site verification of utility infrastructure assets.",,
Core,3,1.3,Meter Test Management,Ensuring compliance and accuracy of electricity meters through regulatory testing protocols.,,
Core,3,1.3,Retriever,Likely a field service platform supporting maintenance and asset inspections.,,
Core,2,1.2,Innovation Management,"Exploring cutting-edge AI, grid automation, and alternative energy technologies.",,
Core,3,1.3,Smart Cities Management,Holistic planning for integrating distributed energy resources (DERs) into urban environments.,,
Core,3,1.3,Sustainability Innovation Management,"Advancement of climate-focused energy initiatives, carbon tracking, and green technology innovations.",,
Core,3,1.3,Building Better Communities Management,"Community engagement in energy programs, emphasizing social and economic benefits of clean power.",,
Core,3,1.3,Data as a Service Management (DaaS),"Offering energy analytics, consumption insights, and predictive modeling as a digital service.",,
Core,2,1.2,Supplier & Installation Support Services,"Assistance in installation of energy assets, including smart meters, solar inverters, and battery systems.",,
Core,3,1.3,Installer Support Services,Training and coordination for certified installers ensuring proper grid integration.,,
Core,3,1.3,Installations Management,Tracking and verifying deployment of energy assets within distributed networks.,,
Core,2,1.2,Renewable Energy Zone (REZ) Management,"Coordination of REZ projects, interconnection planning, and infrastructure expansion for clean energy sources.",,
Core,3,1.3,Renewable Project Development,"Site planning, feasibility studies, and financing models for renewable energy generation.",,
Core,3,1.3,Integration With Grid,Seamless connection of renewables like solar farms and wind plants into the existing grid infrastructure.,,
Core,3,1.3,"Transmission Design, Build & Operate",Engineering and deployment of high-voltage transmission systems enabling efficient energy flow.,,
Core,3,1.3,Regulatory Compliance & Incentives,"Adherence to energy market regulations, incentive programs for renewables, and compliance reporting.",,
Core,3,1.3,RFP Response Management,Preparing competitive bids for energy projects aligned with utility-scale investments.,,
Core,3,1.3,Transmission & Distribution Interconnection,Planning for efficient energy transmission between generators and distribution networks.,,
Core,2,1.2,High Voltage Metering,Managing large-scale metering for high-voltage customers and transmission operators.,,
Core,3,1.3,High Voltage Meter Management,Ensuring accuracy in billing and load balancing through real-time high-voltage metering.,,
Core,3,1.3,High Voltage Accuracy Test Management,Calibration and periodic validation of metering equipment to maintain regulatory compliance.,,
Core,2,1.2,Energy Storage Solutions,Deployment of grid-scale battery storage and distributed energy storage systems (DESS).,,
Core,3,1.3,BESS,Battery Energy Storage Systems (BESS) that support peak load management and frequency regulation.,,
Core,3,1.3,Grid Scale Batteries,Large-scale energy storage solutions integrated into grid operations for stability and demand balancing.,,
Core,3,1.3,Battery As a Service,Business models for leasing and managing battery storage capabilities for commercial use.,,
Core,3,1.3,Battery Data Measurement & Management,"Monitoring battery performance, lifecycle optimization, and predictive maintenance.",,
,,,,,,
Core,1,1.1,Delivery Management ,"The capability to efficiently manage the delivery of projects and operational activities, ensuring the effective operation of Ausgrid's infrastructure and services.",,
Core,2,1.2,Work Planning & Coordination,"Overseeing the planning, execution, and monitoring of work activities, including maintenance, repairs, and project delivery. ",,
Core,3,1.3,"Scheduling, Allocation and Dispatch Management","Optimizing workforce and resource deployment for field operations, ensuring timely response to outages and maintenance needs.",,
Core,3,1.3,Roster Management,Managing work shifts and availability of field personnel to ensure operational efficiency and compliance with labor regulations.,,
Core,3,1.3,Workforce Planning,Strategic forecasting and allocation of human resources to meet future operational demands and regulatory requirements.,,
Core,3,1.3,Works Planning and Preparation,Developing detailed work plans and resource allocation strategies for efficient execution of projects.,,
Core,3,1.3,Performance Management,"Monitoring and evaluating operational efficiency, workforce productivity, and service reliability.",,
Core,3,1.3,Skill Development & Training,Providing ongoing education and certification for employees to maintain technical proficiency and regulatory compliance.,,
Core,3,1.3,Contractor Management,"Managing external service providers to ensure compliance with safety, quality, and performance standards.",,
Core,3,1.3,Works Data Collection,"The broader capability to gather, consolidate, and integrate work-related data from various sources, including field inputs (captured), sensor data, SCADA feeds, contractor reports, and work order systems.",,
Core,3,1.3,Onsite Safety Check Management,Conducting safety inspections and risk assessments to prevent accidents and ensure regulatory compliance.,,
Core,3,1.3,Contract Delivery Management,"Ensuring contractual obligations are met in infrastructure projects, maintenance, and service agreements.",,
Core,2,1.2,Work Execution,"Overseeing the planning, execution, and monitoring of work activities, including maintenance, repairs, and project delivery, including Major Projects",,
Core,3,1.3,Incident Management,"Responding to and mitigating operational disruptions, ensuring rapid restoration of services and safety compliance.",,
Core,3,1.3,Emergency Response Management,"Rapid, coordinated action to restore services, protect public safety, and minimize damage during unplanned incidents.",,
Core,3,1.3,Authorisations Management,"Managing permits, certifications, and regulatory approvals for personnel and infrastructure projects.",,
Core,3,1.3,Onsite Safety Check Management,Conducting safety inspections and risk assessments to prevent accidents and ensure regulatory compliance.,,
Core,3,1.3,Work Delivery Management,"Overseeing the execution of planned work, ensuring adherence to safety, quality, and efficiency standards.",,
Core,3,1.3,Works Data Capture,The capability to digitally record data at the point of work execution in the field—typically by field crews using mobile devices.,,
Core,3,1.3,Field Operations Management,"Supervising day-to-day field activities, including maintenance, emergency response, and infrastructure upgrades.",,
Core,3,1.3,Drone & Robotics Operation Management,"Utilizing advanced technologies for infrastructure inspections, maintenance, and emergency response.",,
Core,3,1.3,Field Services Management,"Coordination and execution of maintenance, repairs, and inspections for electrical infrastructure, ensuring reliability and safety.",,
,,,,,,
Supporting,1,1.1,Strategic Planning Management,,,
Supporting,2,1.2,Strategic Asset Planning,"Long-term planning of energy assets, ensuring reliability, sustainability, and alignment with regulatory and business objectives.","EDP, PI HISTORIAN, SAP ANALYTICS CLOUD, SAP PM",
Supporting,3,1.3,Demand and Load Forecasting,"This involves predicting future energy or resource usage based on historical data, trends, and influencing factors (like weather or economic activity). It helps utilities and businesses plan for supply needs and optimize operations.",,
Supporting,3,1.3,Lifecycle Cost Analysis,"Evaluating total costs associated with an asset over its lifespan, including procurement, maintenance, and decommissioning.",,
Supporting,3,1.3,Capital Investment Planning,Structuring financial investments in infrastructure and technology to enhance grid resilience and operational efficiency.,,
Supporting,2,1.2,Metering Strategy Management,"Developing and implementing metering policies to optimize accuracy, efficiency, and compliance with industry standards. Innovation, ability to source competitive tension",,
Supporting,3,1.3,Regulatory Alignment & Market Analysis,"Ensuring compliance with energy regulations while analyzing market trends to optimize pricing, investment, and operational strategies.",,
Supporting,3,1.3,Meter Technology Evaluation & Roadmapping,"Assessing and planning the adoption of advanced metering technologies to enhance data accuracy, efficiency, and integration.",,
Supporting,2,1.2,Supply Chain Strategic Planning,Define long-term business goals and formulate strategies to achieve them.,,
Supporting,3,1.3,Create Long Term Plan for Product Portfolio,"Develop future-focused plans for product development, lifecycle, and investment.",,
Supporting,3,1.3,Benchmarking,Compare performance metrics against industry best practices or competitors.,,
Supporting,3,1.3,Risk & Resilience Planning,Identify supply chain risks and establish mitigation and recovery strategies.,,
Supporting,2,1.2,Market Strategy & Planning,"The process of defining long-term goals, identifying market opportunities, and allocating resources to achieve competitive advantage.",,
Supporting,3,1.3,Market Research & Analysis,"Gathering and analyzing data about consumers, competitors, and market conditions to inform business decisions.",,
Supporting,3,1.3,Strategic Planning,Developing organizational goals and determining the best strategies and tactics to achieve them.,,
Supporting,3,1.3,Product & Service Portfolio Management,Managing a company’s collection of products and services to maximize value and alignment with business strategy.,,
Supporting,2,1.2,Sustainability Strategy Development,"Creating a strategi objecitves and a roadmap to integrate and enhance sustainability for both for the business, its relevant stakeholders,and  the environment and society.",,
Supporting,3,1.3,Define Sustainability Vision,Establishing a clear and aspirational statement that guides sustainability efforts.,,
Supporting,3,1.3,Conduct Materiality Assessment,Identifying and prioritising ESG risks and opportunities that are material to the business and how the business impacts the environment and society (double materiality).,,
Supporting,3,1.3,Sustainability Standards Identification & Alignment ,"Identifying relevant sustainability standards to align with to meet regulatory and disclosure requirement and the business' own sustainability goals (e.g. UN SDGs, GRESB, ASRS).",,
Supporting,3,1.3,Set Strategic Objectives,Defining measurable sustainability goals to guide implementation and performance tracking.,,
Supporting,3,1.3,Sustainability Policies Development,"Creating formal policies that support sustainability objectives and ensure compliance. (e.g Develop sustainability policies (Health and Safety Policy, Modern Slavery, Carbon Management Policy).",,
Supporting,3,1.3,Conduct Climate Assessment,"Conduct climate risk assessments, scenario analysis and climate transition plans in line with strategic goals and reporting  and disclosure requirement.",,
,,,,,,
Supporting,1,1.1,Commercial Innovation & Market Growth,The capability to identify and implement innovative commercial strategies and initiatives to drive business growth and adapt to changing market dynamics.,,
Supporting,2,1.2,Proposals Management,"Overseeing the development, submission, and evaluation of proposals to secure funding or business opportunities.",,
Supporting,3,1.3,RFP Management,"Managing the Request for Proposal (RFP) process, including drafting, issuance, evaluation, and vendor selection.",,
Supporting,3,1.3,Grants Management,"Apply for and administer grant applications, compliance requirements, and reporting for funding opportunities.",,
Supporting,2,1.2,Emerging Business Model Development,"Identifying, designing, and refining new business models to support innovation and strategic growth.",,
Supporting,3,1.3,Tariff Reform,"Reviewing, proposing, and implementing changes to tariff structures to align with evolving market conditions and regulatory requirements.",,
Supporting,3,1.3,Network as a Platform,"Enabling the utility grid to function as a platform for distributed energy resources (DERs), market participants, and value-added services.",,
Supporting,3,1.3,DER Coordination,Integrating and managing Distributed Energy Resources (DERs) for optimal grid performance and market participation.,,
Supporting,2,1.2,Strategic Partnership Management,Establishing and maintaining partnerships that drive business objectives and market expansion.,,
Supporting,3,1.3,Establish MOU with Stakeholders,Drafting and formalizing Memorandums of Understanding (MOUs) to define collaboration terms with key stakeholders.,,
Supporting,3,1.3,Field Services Management,"Coordinating and optimizing field operations, workforce deployment, and maintenance activities.",,
Supporting,2,1.2,Regulatory Strategy and Future Market Shaping,Developing strategies to navigate regulatory environments and influence future market structures.,,
Supporting,3,1.3,Market Engagement,"Facilitating interactions with stakeholders, customers, and regulators to influence market developments and opportunities.",,
Supporting,3,1.3,Strategy Development and Alignment,Crafting and synchronizing strategic initiatives with corporate goals to enhance business performance.,,
Supporting,2,1.2,Strategic Priority Management,"Overseeing the identification, execution, and monitoring of high-impact strategic initiatives.",,
Supporting,3,1.3,Strategic Priority Development,Defining and shaping critical business priorities to drive organizational success.,,
Supporting,3,1.3,Strategic Priority Coordination,Aligning efforts across teams to ensure seamless execution of strategic priorities.,,
Supporting,2,1.2,Brand Awareness Management,Enhancing and expanding brand scope and visibility and recognition through targeted initiatives and outreach efforts.,,
Supporting,3,1.3,Manage Brand Awareness,Implementing strategies to strengthen the brand’s presence and perception in the market.,,
Supporting,3,1.3,Electrification & Energy Efficiency Community Awareness,Supporting the community journey towards electification and efficient use of electricity resources.,,
Supporting,3,1.3,Community Safety Awareness,Implementing strategies to strengthen the brand’s presence and perception in the market.,,
Supporting,3,1.3,Brand Characteristics Management,Defining and maintaining key brand attributes to ensure consistency and alignment with strategic goals.,,
Supporting,2,1.2,Regulatory and Policy Management,"Tracking, analyzing, and responding to regulatory changes and policy shifts impacting business operations.",,
Supporting,3,1.3,Policy Change Management,Developing approaches to adapt to new policies and ensure organizational compliance and alignment.,,
Supporting,3,1.3,Regulatory Change Management,Proactively managing responses to regulatory shifts to maintain business continuity and strategic advantage.,,
,,,,,,
Supporting,1,1.1,People & Culture Management,"The capability to attract, develop, and retain a skilled and engaged workforce while fostering a positive organizational culture aligned with Ausgrid's values and objectives.",,
Supporting,2,1.2,Talent Management,"Focuses on attracting,developing, and retaining skilled employeed to meet organisational goals. It includes strategies and processes that ensure the right talent is in place to drive business success",,
Supporting,3,1.3,Talent Acquisition,"Involves identifying, attracting, and selecting individuals with the necessarry skills and competencies to fullfil organisational roles.",,
Supporting,3,1.3,Talent Development,"The process of enhancing employees' skills, kowledge, and competencies through training and professional development programs. It aims to prepare individuals for current and future roles within the organisation.",,
Supporting,3,1.3,Early Careers Management,"Focuses on attracting, developing, and rataining early-career talent through structural programs and opportunities to support their growth and align with organisational goals.",,
Supporting,3,1.3,Talent Network Management,"Talent Network Management involves building and maintaining relationships with potential candidates, industry professionals, and educational institutions to create a pipeline of talent for future organizational needs",,
Supporting,3,1.3,Onboarding/Offboarding,"Managing the end-to-end onboarding and offboarding of all resources, staff and contractors ensuring all access rights and passes are issued and revoked in a timely manner",,
Supporting,3,1.3,Alumni Programs,"Alumni Programs are initiatives designed to maintain relationships with former employees, leveraging their experience and networks for potential future collaboration or recruitment.",,
Supporting,3,1.3,Careers & Recruitment,Facilitates internal career growth and progression through structured development paths and supports recruitment effort to fill roles with existing talent.,,
Supporting,3,1.3,Recruitment & Sourcing Stratgey,Recruitment and Sourcing Strategy encompasses the planning and execution of methods to attract and hire qualified candidates. ,,
Supporting,2,1.2,Workforce & Industrial Relations Management,Manages employee relations and union interactions to ensure compliance with labor laws and maintain workplace harmony,,
Supporting,3,1.3,Workforce Experience,Enhances employee satisfaction and engagement through initiatives that improve workplace culture and environment,,
Supporting,3,1.3,Workforce Relations Strategy,"Develops strategies to manage employee relations and interactions with unions, ensuring compliance and positive workplace dynamics",,
Supporting,3,1.3,Workforce Lifecycle Management,"Manages all stages of the employee lifecycle, from recruitment to retirement, ensuring seamless transitions and support",,
Supporting,3,1.3,Workforce Communication,Facilitates effective communication across the organization to ensure clarity and alignment with business goals,,
Supporting,2,1.2,Payroll Management,"Administers employee compensation processes, ensuring timely and accurate payroll in compliance with regulations",,
Supporting,3,1.3,Payroll Processing,Executes payroll operations to ensure timely and accurate compensation for employees,,
Supporting,3,1.3,Payroll Administration,Manages payroll systems and records to maintain accuracy and compliance with financial regulations,,
Supporting,3,1.3,Payroll Benefits & Compensation Management,Oversees employee benefits and compensation packages to ensure competitiveness and compliance,,
Supporting,3,1.3,Payroll Audit & Control,Conducts audits and implements controls to ensure payroll accuracy and compliance with policies,,
Supporting,2,1.2,Org Strategy & Management,Aligns workforce strategies with organizational goals to enhance effectiveness and drive business success,,
Supporting,3,1.3,Organisational Development,Implements programs to improve organizational effectiveness and employee capabilities,,
Supporting,3,1.3,Workforce Planning & Optimisation,Plans and optimizes workforce resources to meet current and future business needs,,
Supporting,3,1.3,Diversity & Inclusion Management,Promotes diversity and inclusion within the organization to enhance workplace culture and innovation,,
Supporting,3,1.3,Peope & Culture Policy Strtgey Development,Develops strategic plans to align people and culture initiatives with organizational objectives,,
Supporting,2,1.2,People & Culture Operations & Services,Provides HR services and support to improve employee experience and operational efficiency,,
Supporting,3,1.3,Workforce Services,Provides support services to employees to enhance their work experience and productivity,,
Supporting,3,1.2,People and Culture Operations,Manages day-to-day HR operations to ensure efficient delivery of services and support,,
Supporting,3,1.3,Workforce Engagement,Develops initiatives to increase employee engagement and commitment to organizational goals,,
Supporting,3,1.3,Timesheet Management,Oversees the tracking and management of employee work hours to ensure accuracy and compliance,,
Supporting,3,1.3,Travel Time Management,Manages travel-related time tracking and policies to ensure compliance and efficiency,,
Supporting,3,1.3,Careers & Recruitment,Facilitates career development and recruitment processes to attract and retain top talent,,
Supporting,2,1.2,Performance & Development,Oversees employee performance management and development initiatives to foster skill enhancement and career growth,,
Supporting,3,1.3,Learning Strategy,Develops strategies to enhance employee learning and development aligned with business needs,,
Supporting,3,1.3,Competency Management and Framework,Establishes frameworks to assess and develop employee competencies for organizational success,,
Supporting,3,1.3,Managing Coaching Strategy,Develops coaching programs to enhance employee performance and development,,
Supporting,3,1.3,Leadership Development,Implements training programs to improve employee skills and competencies,,
Supporting,3,1.3,Rewards and Recognition,Implements systems to recognize and reward employee achievements and contributions,,
Supporting,3,1.3,Employee Performance Management,Manages processes to assess and improve employee performance and productivity,,
,,,,,,
Supporting,1,1.1,Technology Management,The capability to strategically manage and leverage technology solutions to support Ausgrid's business operations and drive digital transformation.,,
Supporting,2,1.2,Cyber Security Management,"Protect organisational information systems and data from cyber threats,ensuring security aligns with busiess objectives and compleince requirments",,
Supporting,3,1.3,Threat Intelligence and Analysis,"This capability involves gathering, analyzing, and interpreting information about potential or actual threats to the organization. It aims to anticipate and mitigate risks by understanding threat actors, their methods, and potential impacts",,
Supporting,3,1.3,Access Control & Identify Management,"Access Control and Identity Management ensure that only authorized individuals have access to specific resources within the organization. It includes processes for authentication, authorization, and managing user identities and permissions",,
Supporting,3,1.3,Security Policy and Compliance,"Focuses on developing, implementing, and enforcing security policies and procedures to ensure compliance with legal, regulatory, and organizational standards. It involves regular audits and assessments to maintain adherence",,
Supporting,3,1.3,Vulnerability Management,"Vulnerability Management involves identifying, assessing, and mitigating vulnerabilities in the organization's systems and applications. It includes regular scanning, patch management, and risk assessment to prevent exploitation",,
Supporting,3,1.3,Infrastructure and Network Security,"Implements measures to product the organisation's IT infrastracture and network from unauthorised access,threats, and vulnerabilities, ensuring the integrity and avaibalility of systems and data.",,
Supporting,3,1.3,Security Operations & Incident Management,Monitors and responds to security threats and incidents to protect organisational assets and ensure swift recovery and mitigation.,,
Supporting,3,1.3,Data Protection and Privacy,"Focus on safeguarding sensitive information from unauthorized access and ensuring compliance with privacy regulations. It includes encryption, data masking, and privacy impact assessments.",,
Supporting,3,1.3,Security Compliance Reporting,"Generate reports to demonstrate adherence to security policies and regulatory requirments, ensuring transparency and acountability.",,
Supporting,3,1.3,Security Development and Operations,"Security Development and Operations integrate security practices into the software development lifecycle and operational processes. It includes secure coding, testing, and deployment to prevent vulnerabilities in applications and systems",,
Supporting,3,1.3,Third-Party Risk Management,"Involves assessing and managing the security risks associated with third-party vendors and partners. It includes due diligence, contract management, and continuous monitoring to ensure third-party compliance with security standards.",,
Supporting,3,1.3,End Point Security,"Endpoint security focuses on protecting individual devices—such as computers, mobile phones, and IoT devices—from cyber threats.",,
Supporting,3,1.3,Cyber Advisory and Consulting Services,"Cyber advisory and consulting services help organizations assess, plan, and implement cybersecurity strategies. ",,
Supporting,2,1.2,Strategy and Enterprise Architecture,Aligning business strategy with IT architecture to ensure technology investments support organizational goals,,
Supporting,3,1.3,Technology Strategy Development ,"Defining how technology will be leveraged to drive business innovation, efficiency, and competitive advantage",,
Supporting,3,1.3,Enterprise Modelling,"Structuring business capabilities, processes, and organizational models to optimize performance and strategic alignment.",,
Supporting,3,1.3,Technology Architecture,"Designing the foundational IT infrastructure, including networks, platforms, and security frameworks.",,
Supporting,3,1.3,Application Architecture,"Structuring software applications to ensure scalability, interoperability, and alignment with business needs.",,
Supporting,3,1.3,Stakeholder Engagement & Advisory,Collaborating with business leaders and IT teams to ensure architecture decisions align with strategic objectives.,,
Supporting,3,1.3,Technology Roadmapping,Planning future technology investments and adoption strategies to support long-term business goals.,,
Supporting,3,1.3,Architecture Governance,"Establishing policies, standards, and frameworks to ensure consistency and compliance in architectural decisions.",,
Supporting,3,1.3,Innovation & Emerging Technologies,Identifying and integrating new technologies to enhance business capabilities and drive transformation.,,
Supporting,3,1.3,Architecture Framework and Patterns Development,Creating reusable architectural models and best practices to streamline IT development.,,
Supporting,3,1.3,Information Architecture,"Organizing and managing data structures to improve accessibility, usability, and decision-making.",,
Supporting,2,1.2,ITSM & Operations,"Managing IT Service Management (ITSM) processes, ensuring efficient IT operations, incident resolution, and service delivery aligned with business needs.",,
Supporting,2,1.2,Service Design & Transition,Ensuring new or modified IT services are designed effectively and transitioned smoothly into production environments.,,
Supporting,3,1.3,Service Operation & Support,"Managing daily IT service delivery, including incident resolution, problem management, and user support.",,
Supporting,3,1.3,Service Level Management,Negotiating and maintaining Service Level Agreements (SLAs) to ensure IT services meet business expectations.,,
Supporting,3,1.3,Capacity & Performance Management,Ensuring IT services and infrastructure meet current and future demand efficiently.,,
Supporting,3,1.3,Availability & Continuity Management,Maintaining service availability and ensuring business continuity in case of disruptions.,,
Supporting,3,1.3,Configuration & ICT Asset Management,"Managing IT assets and configurations to optimize performance, security, and compliance.",,
Supporting,3,1.3,Financial Management for IT Services,"Controlling IT service costs, budgeting, and financial planning to ensure cost-effective service delivery.",,
Supporting,3,1.3,Supplier and Contract Management,Managing relationships with IT suppliers and ensuring contracts align with business needs.,,
Supporting,3,1.3,Knowledge Management,"Capturing, organizing, and sharing IT knowledge to improve efficiency and decision-making.",,
Supporting,3,1.3,Monitoring & Event Management,Continuously tracking IT systems and responding to events to maintain service reliability.,,
Supporting,2,1.2,Cloud and Infrastructure Management,"Overseeing cloud environments, on-premises infrastructure, and hybrid systems to optimize performance, security, and scalability.",,
Supporting,3,1.3,Cloud Strategy & Governance,"Establishing policies, standards, and a strategic roadmap to guide cloud adoption, usage, and management aligned with business goals.",,
Supporting,3,1.3,Cloud Deployment & Management,"The process of provisioning, configuring, and maintaining cloud resources and services to ensure optimal performance and availability.",,
Supporting,3,1.3,Infrastructure Automation & Orchestration,Using tools and scripts to automate repetitive infrastructure tasks and coordinate workflows across systems for efficiency and consistency.,,
Supporting,3,1.3,Performance & Capacity Management,Monitoring and optimizing system performance and resource usage to ensure scalability and meet service level objectives.,,
Supporting,3,1.3,Disaster Recovery & Business Continuity,"Planning and implementing strategies to recover IT systems and data after disruptions, ensuring minimal downtime and business continuity.",,
Supporting,3,1.3,Infrastructure Design,"Architecting IT infrastructure to meet technical and business requirements, including scalability, reliability, and security.",,
Supporting,3,1.3,Security & Compliance Management,"Ensuring infrastructure adheres to security best practices and regulatory requirements through monitoring, controls, and audits.",,
Supporting,3,1.3,Cost Management & Optimisation,Tracking and optimizing cloud and infrastructure spending to reduce waste and align costs with business value.,,
Supporting,3,1.3,Innovation & Emerging Technologies,"Exploring and integrating new technologies (e.g., AI, edge computing) to enhance infrastructure capabilities and drive innovation.",,
Supporting,3,1.3,Resource Provisioning & Management,"Allocating and managing computing resources (e.g., servers, storage, networks) to support applications and workloads efficiently.",,
Supporting,2,1.2,IT Investment Planning,"Strategically evaluating and allocating resources for IT investments, ensuring alignment with business objectives and future growth.",,
Supporting,3,1.3,Technology Portfolio Management,Managing a collection of technology investments to achieve strategic objectives.,,
Supporting,3,1.3,Investment Evaluation & Prioritisation,Assessing and ranking potential investments based on their value and impact.,,
Supporting,3,1.3,Market & Technology Trend Analysis,Analyzing market trends and technological advancements to inform investment decisions.,,
Supporting,3,1.3,Budgeting & Financial Planning,Allocating financial resources for IT investments and planning expenditures.,,
Supporting,3,1.3,Strategic Alignment & Governance,Ensuring IT investments align with business strategy and are governed effectively.,,
Supporting,3,1.3,IT Investment Risk Management,"Identifying, assessing, and mitigating risks associated with IT investments.",,
Supporting,3,1.3,IT Investment Scenario Planning,Developing scenarios to anticipate future conditions affecting IT investments.,,
Supporting,3,1.3,Technology Investment Benchmarking,Comparing technology investment performance against industry standards or peers.,,
Supporting,3,1.3,Strategic Investment Partnership,Forming partnerships to enhance the value of technology investments through collaboration.,,
Supporting,2,1.2,Technology Vendor Management,"Managing relationships with technology providers, overseeing contracts, performance, and alignment with business and IT strategies.",,
Supporting,3,1.3,Vendor Selection & Evaluation,"Assessing and choosing vendors based on criteria such as cost, quality, reliability, and alignment with business needs.",,
Supporting,3,1.3,Vendor Performance Monitoring,Tracking and evaluating vendor performance to ensure they meet contractual obligations and service level agreements.,,
Supporting,3,1.3,Vendor Relationship Management,"Managing interactions and relationships with vendors to foster collaboration, resolve issues, and maximize value.",,
Supporting,3,1.3,Vendor Compliance & Governance,"Ensuring vendors adhere to regulatory requirements, industry standards, and company policies.",,
Supporting,3,1.3,Strategic Vendor Partnership,"Building long-term, strategic partnerships with key vendors to drive innovation and achieve mutual business goals.",,
Supporting,3,1.3,Vendor Exit Strategy,"Planning and executing the process of disengaging from a vendor, including transitioning services and minimizing disruption.",,
Supporting,3,1.3,Innovation & Technology Scouting,Identifying and evaluating emerging technologies and innovative solutions from vendors to enhance business capabilities.,,
Supporting,3,1.3,Vendor Innovation Collaboration,"Collaborating with vendors on innovation initiatives to co-create new products, services, or solutions.",,
Supporting,3,1.3,Vendor Onboarding & Integration,"Integrating new vendors into the company's processes, systems, and culture to ensure smooth and effective collaboration.",,
